acronym,x,y,gc1,gc2,gc3,gc4,bio1,bio2,bio3,bio4,bio8,bio12,bio15,bio18
her,2964518.0629717465,1953008.828553318,0.0117,0.0134,0.9631,0.0118,15.0041666666667,12.0416666666667,0.382275132275132,6.88946687254383,7.98333333333333,657.6999999999999,51.643599395364895,51.5
hom,3335011.8435035846,2044981.0616249223,0.3416,0.4435,0.162,0.0529,10.149999999999999,12.9833333333333,0.399487179487179,6.897496251934791,11.950000000000001,470.3,34.3618509317916,102.89999999999999
hon,2977531.3529702146,1775327.2038146951,0.0221,0.0753,0.0351,0.8675,16.9083333333333,13.55,0.426100628930818,6.44031455094792,10.383333333333301,686.9,67.5516100752953,31.200000000000003
hor,3705273.8674685825,2092666.5976484928,0.1357,0.4532,0.0351,0.376,13.091666666666699,10,0.387596899224806,5.79536779495382,14.05,768.1999999999999,24.688914968741898,164
hoy,3050757.0763344886,2048260.2298134707,0.3238,0.2972,0.0931,0.286,10.504166666666702,12.725,0.393962848297214,6.884054643401179,3.7,972.6,47.9027914620718,82.8
hue,3014314.0617120825,2346195.0177633497,0.5779,0.1098,0.0846,0.2278,7.9708333333333306,11.174999999999999,0.42816091954023,5.2843877401151,2.83333333333333,1048.3,40.6815704974032,127.89999999999999
hum,3194056.974481671,2227488.958749271,0.1054,0.0699,0.7857,0.039,10.962499999999999,11.525,0.407243816254417,5.97943920295358,7.7,570.9000000000001,29.4060732047367,87.8
iso,3074816.8222310776,2343740.249869987,0.2745,0.3487,0.3181,0.0586,5.88333333333333,11.766666666666701,0.41725768321513,5.702524693395709,0.583333333333333,1486.5,34.8765147633563,193.1
jim,3014584.3872218924,2269607.0140614137,0.7523,0.0912,0.078,0.0785,11.1708333333333,12.9916666666667,0.43596196868008896,6.03231669402143,4.85,460.4,33.4314603756146,69.1
lab,3101698.5401137816,2091346.221335693,0.6786,0.1288,0.0943,0.0983,11.587499999999999,12.424999999999999,0.39823717948718,6.620152600548231,7.766666666666669,456.3,30.7120803274322,73.3
cen,3081147.647099773,1784054.8789158033,0.1573,0.1115,0.0943,0.637,15.591666666666699,13.45,0.407575757575758,6.859062794889869,8.733333333333329,629.8,60.7544448690339,35.699999999999996
